797	908	1009	895	883	983	972	900	821	846	1046	1134	969	1032	1171	1389	1188	1520	1729	2024	2339	2619	2962	3314	3782	4283	5051	5753	6644	8084	9517	10014	11164	12935	14222	15692	16746	17597	17795	19105	21188
60.1	59.5	55	56.1	57.1	56.2	55.1	49.6	49.3	51.5	49.7	53.7	53.6	53.6	52.1	47.7	46.7	46.7	46.6	43.8	41.2	39.3	36	35.4	32.3	30	29.9	29.4	28	28.7	29.6	28.7	26.8	25	24.8	24	24	22.4	21.5	20.2	20.2
